gene chr start
1 SGIP1 chr1 66999251
2 SLC45A1 chr1 8378144
3 NECAP2 chr1 16767166
4 CLIC4 chr1 25071759
5 AZIN2 chr1 33546713
6 AGBL4 chr1 50489626
7 TGFBR3 chr1 92351836
8 DBT chr1 100715409
9 PRUNE1 chr1 150980866
10 RFWD2 chr1 176176380
11 C1orf21 chr1 184356149
12 LIN9 chr1 226497204
13 C1orf159 chr1 1051736
14 PRKCZ chr1 1981908
15 PRDM16 chr1 2985741
16 ICMT chr1 6296044
17 CAMTA1 chr1 6845383
18 LOC105378614 chr1 19923326
19 PINK1 chr1 20959947
20 PINK1-AS chr1 20978686
21 USP48 chr1 22109688
22 EPHB2 chr1 23037330
23 STMN1 chr1 26232993
24 NUDC chr1 27248212
25 EYA3 chr1 28415148
26 EPB41 chr1 29213602
27 PUM1 chr1 31538564
28 KHDRBS1 chr1 32479294
29 CSMD2 chr1 34630875
30 SFPQ chr1 35658746
31 THRAP3 chr1 36690012
32 MACF1 chr1 39549838
33 PTPRF chr1 43991707
34 RNF220 chr1 44870831
35 GPBP1L1 chr1 46152302
36 TRABD2B chr1 48462562
37 FAF1 chr1 51425936
38 RAB3B chr1 52456436
39 SCP2 chr1 53392900
40 TCEANC2 chr1 54519244
41 USP24 chr1 55681039
42 DAB1 chr1 58716211
43 FGGY chr1 59762624
44 NFIA chr1 61542945
45 USP1 chr1 62901974
46 ITGB3BP chr1 63988944
47 CACHD1 chr1 64936475
48 LEPR chr1 65886334
49 LRRC7 chr1 70032867
50 NEGR1 chr1 72748277
51 ST6GALNAC3 chr1 76540388
52 PIGK chr1 77685132
53 DDAH1 chr1 86044046
54 CLCA4 chr1 87012758
55 PKN2-AS1 chr1 89150887
56 LRRC8C chr1 90098643
57 FAM69A chr1 93427079
58 GCLM chr1 94375154
59 LOC729970 chr1 95393583
60 LOC102723661 chr1 96457623
61 NTNG1 chr1 107682539
62 GNAI3 chr1 110091185
63 KCNA2 chr1 111174096
64 RAP1A chr1 112162404
65 RHOC chr1 113249678
66 PHTF1 chr1 114301777
67 WDR3 chr1 118472371
68 NOTCH2 chr1 120612317
69 NBPF9 chr1 144614958
70 PDZK1 chr1 145727665
71 LOC101927429 chr1 148876039
72 OTUD7B chr1 149982686
73 TPM3 chr1 154150697
74 GBAP1 chr1 155197325
75 SMG5 chr1 156252620
76 FCGR2A chr1 161475204
77 PBX1 chr1 164528596
78 LOC440700 chr1 165667986
79 MROH9 chr1 170904611
80 DNM3 chr1 171810617
81 TNFSF18 chr1 173020103
82 TNN chr1 175036993
83 BRINP2 chr1 177140523
84 RASAL2 chr1 178062863
85 SOAT1 chr1 179262848
86 ACBD6 chr1 180472022
87 RGSL1 chr1 182419255
88 SMG7 chr1 183441505
89 PTGS2 chr1 186649559
90 ZBTB41 chr1 197169672
91 NEK7 chr1 198126107
92 PPP1R12B chr1 202317829
93 SRGAP2 chr1 206516196
94 HHAT chr1 210501595
95 BATF3 chr1 212873327
96 USH2A chr1 216596738
97 ESRRG chr1 217113015
98 EPRS chr1 220220000
99 DNAH14 chr1 225117355
100 TRIM11 chr1 228594517
101 NUP133 chr1 229644088
102 TSNAX-DISC1 chr1 231664398
103 LINC00582 chr1 231747836
104 LYST chr1 236030227
105 MTR chr1 236958580
106 LOC100130331 chr1 238025474
107 RGS7 chr1 241520530
108 KIF26B chr1 245318286
109 SMYD3 chr1 246580714
110 ZNF496 chr1 247495242
111 OR14C36 chr1 248512076
112 LINC01128 chr1 762970
113 FAM132A chr1 1182102
114 AURKAIP1 chr1 1310818
115 CDK11B chr1 1590558
116 NADK chr1 1709909
117 SKI chr1 2160133
118 TNFRSF14 chr1 2487803
119 TTC34 chr1 2706230
120 MEGF6 chr1 3528059
121 CCDC27 chr1 3668964
122 DFFB chr1 3773830
123 AJAP1 chr1 4715104
124 NPHP4 chr1 6052533
125 KCNAB2 chr1 6052357
126 ACOT7 chr1 6445883
127 PLEKHG5 chr1 6557156
128 PER3 chr1 7844488
129 TNFRSF9 chr1 8003225
130 RERE chr1 8877699
131 GPR157 chr1 9189229
132 H6PD chr1 9294862
133 CLSTN1 chr1 9884584
134 CTNNBIP1 chr1 9970316
135 UBE4B chr1 10093040
136 KIF1B chr1 10270763
137 PEX14 chr1 10535002
138 CASZ1 chr1 10856733
139 C1orf127 chr1 11042094
140 EXOSC10 chr1 11159967
141 MTOR chr1 11322608
142 AGTRAP chr1 11796141
143 MFN2 chr1 12040237
144 TNFRSF8 chr1 12123433
145 VPS13D chr1 12290095
146 AADACL4 chr1 12704565
147 KAZN chr1 14925212
148 TMEM51-AS1 chr1 15478960
149 FHAD1 chr1 15573767
150 DNAJC16 chr1 15853307
151 SPEN chr1 16174358
152 FBXO42 chr1 16678986
153 NBPF1 chr1 16940100
154 ESPNP chr1 17046652
155 MFAP2 chr1 17307173
156 PADI2 chr1 17445948
157 PADI1 chr1 17531620
158 ARHGEF10L chr1 17866329
159 ACTL8 chr1 18081807
160 IGSF21 chr1 18434239
161 PAX7 chr1 18957499
162 IFFO2 chr1 19282826
163 UBR4 chr1 19536746
164 CAPZB chr1 19811201
165 TMCO4 chr1 20126410
166 LINC01141 chr1 20755287
167 HP1BP3 chr1 21113181
168 EIF4G3 chr1 21437876
169 ECE1 chr1 21672034
170 ALPL chr1 21835850
171 LDLRAD2 chr1 22138757
172 HSPG2 chr1 22263790
173 CDC42 chr1 22379119
174 ZBTB40 chr1 22778343
175 LUZP1 chr1 23495351
176 TCEA3 chr1 23751272
177 E2F2 chr1 23857712
178 IFNLR1 chr1 24513765
179 NIPAL3 chr1 24739976
180 NCMAP chr1 24882566
181 RHCE chr1 25747363
182 TMEM57 chr1 25757348
183 MAN1C1 chr1 25943958
184 SH3BGRL3 chr1 26606212
185 LIN28A chr1 26737258
186 RPS6KA1 chr1 26856248
187 TMEM222 chr1 27648635
188 WASF2 chr1 27816698
189 AHDC1 chr1 27930005
190 PHACTR4 chr1 28696092
191 SNHG3 chr1 28832454
192 RCC1 chr1 28832454
193 TAF12 chr1 28969604
194 SRSF4 chr1 29508637
195 PTPRU chr1 29563027
196 MATN1 chr1 31196432
197 MATN1-AS1 chr1 31191618
198 PTP4A2 chr1 32385259
199 KPNA6 chr1 32573643
200 HDAC1 chr1 32757707
201 ZBTB8A chr1 33004745
202 SYNC chr1 33168361
203 S100PBP chr1 33283042
204 RNF19B chr1 33430414
205 PHC2 chr1 33841194
206 LOC101929464 chr1 33815952
207 ZSCAN20 chr1 33938231
208 CSMD2-AS1 chr1 34334556
209 DLGAP3 chr1 35395186
210 ZMYM4 chr1 35734567
211 KIAA0319L chr1 36023037
212 TFAP2E chr1 36038970
213 AGO4 chr1 36273827
214 AGO3 chr1 36396682
215 COL8A2 chr1 36590685
216 STK40 chr1 36851528
217 GRIK3 chr1 37499844
218 SNIP1 chr1 38019945
219 YRDC chr1 38273865
220 INPP5B chr1 38412729
221 RRAGC chr1 39325495
222 BMP8A chr1 39957317
223 BMP8B chr1 40254533
224 RLF chr1 40627040
225 NFYC-AS1 chr1 41157933
226 KCNQ4 chr1 41249683
227 SCMH1 chr1 41627104
228 HIVEP3 chr1 42384378
229 FOXJ3 chr1 42800636
230 RIMKLA chr1 42846467
231 TMEM269 chr1 43253660
232 CFAP57 chr1 43638000
233 TIE1 chr1 43766565
234 SZT2 chr1 43855555
235 KDM4A-AS1 chr1 44173012
236 ST3GAL3 chr1 44173203
237 IPO13 chr1 44412477
238 ERI3 chr1 44820951
239 ERI3-IT1 chr1 44709955
240 KIF2C chr1 45205489
241 EIF2B3 chr1 45452394
242 ZSWIM5 chr1 45672250
243 TESK2 chr1 45956840
244 MAST2 chr1 46269278
245 PIK3R3 chr1 46596345
246 POMGNT1 chr1 46663171
247 MKNK1 chr1 47069966
248 CYP4Z2P chr1 47366147
249 CYP4X1 chr1 47427035
250 CYP4Z1 chr1 47533159
251 CMPK1 chr1 47799468
252 SKINT1L chr1 48648100
253 SPATA6 chr1 48937880
254 ELAVL4 chr1 50513685
255 TTC39A chr1 51787940
256 EPS15 chr1 51984995
257 OSBPL9 chr1 52082545
258 NRDC chr1 52343712
259 ZFYVE9 chr1 52607765
260 CC2D1B chr1 52831877
261 ZCCHC11 chr1 53018762
262 ZYG11B chr1 53192130
263 ZYG11A chr1 53308182
264 LRP8 chr1 53793821
265 GLIS1 chr1 54199877
266 NDC1 chr1 54304225
267 HSPB11 chr1 54411496
268 CYB5RL chr1 54665746
269 SSBP3 chr1 54872068
270 ACOT11 chr1 55013806
271 MROH7-TTC4 chr1 55107412
272 PLPP3 chr1 57045257
273 PRKAA2 chr1 57110989
274 C1orf168 chr1 57285369
275 C8B chr1 57431813
276 DAB1-AS1 chr1 58326214
277 OMA1 chr1 59012471
278 LINC01358 chr1 59486147
279 HOOK1 chr1 60280532
280 LOC101926964 chr1 61291256
281 PATJ chr1 62208148
282 KANK4 chr1 62785083
283 DOCK7 chr1 63154039
284 ATG4C chr1 63249776
285 LINC00466 chr1 63782928
286 PGM1 chr1 64058946
287 ROR1 chr1 64239689
288 RAVER2 chr1 65210777
289 JAK1 chr1 65432252
290 AK4 chr1 65613231
291 DNAJC6 chr1 65730376
292 PDE4B chr1 66258192
293 TCTEX1D1 chr1 67218139
294 WDR78 chr1 67390570
295 SLC35D1 chr1 67520080
296 IL23R chr1 67632168
297 SERBP1 chr1 67896123
298 GNG12 chr1 68299155
299 GNG12-AS1 chr1 68297970
300 WLS chr1 68698229
301 DEPDC1 chr1 68962904
302 PIN1P1 chr1 70385004
303 LRRC40 chr1 70671361
304 ANKRD13C chr1 70820417
305 PTGER3 chr1 71513491
306 ZRANB2-AS2 chr1 71547006
307 LINC01360 chr1 73771852
308 LRRIQ3 chr1 74663871
309 FPGT-TNNI3K chr1 74663895
310 TNNI3K chr1 74701070
311 ERICH3 chr1 75139422
312 SLC44A5 chr1 76076799
313 MSH4 chr1 76262555
314 ST6GALNAC5 chr1 77333092
315 AK5 chr1 77747661
316 ZZZ3 chr1 78148343
317 MIGA1 chr1 78245308
318 NEXN chr1 78354199
319 GIPC2 chr1 78510645
320 MGC27382 chr1 78695282
321 ADGRL4 chr1 79472495
322 LINC01781 chr1 81001439
323 ADGRL2 chr1 82165454
324 LINC01725 chr1 84326679
325 LOC101927560 chr1 84326229
326 TTLL7 chr1 84464833
